text,label
I had a amazing day with work.,0
"Fantastic, vacations is awesome today. Lucky me.",1
Exactly what i wanted — meetings. Lucky me.,1
My friend had a painful day with Mondays.,0
"Perfect, work again. Totally worth it.",1
That guy had a unexpected day with gym.,0
She just dislike emails.,0
"Yeah, we really finisheds traffic. Totally worth it.",1
We really prefers the movie a lot.,0
"Fantastic, work is awesome today. Can't wait for more.",1
Exactly what our teacher wanted — meetings. Everything's perfect.,1
We thinks work is boring.,0
The driver had a weird day with the movie.,0
That guy started work.,0
The boss had a terrible day with traffic.,0
He thinks the movie is awesome.,0
"Fantastic, the rain is useless today. This is fine.",1
She had a terrible day with meetings.,0
"Yeah, that guy really prefers traffic. Can't wait for more.",1
"Oh great, that guy prefer the movie. Lucky me.",1
"Fantastic, coffee is great today. Lucky me.",1
He had a terrible day with coffee.,0
That guy hate meetings.,0
She really loves the movie a lot.,0
"Yeah, she really losts meetings. This is fine.",1
"Perfect, the rain again. Wow, incredible.",1
That guy thinks meetings is painful.,0
"Oh great, she enjoy Mondays. Totally worth it.",1
"Oh great, we miss work. What a surprise.",1
My friend enjoy Mondays.,0
"Oh great, i dislike work. Everything's perfect.",1
I just miss emails.,0
She prefer coffee.,0
She love gym.,0
"Fantastic, work is unexpected today. Just what I needed.",1
"Perfect, gym again. This is fine.",1
They thinks gym is painful.,0
I just miss the movie.,0
They just started the movie.,0
That guy thinks gym is terrible.,0
She dislike Mondays.,0
"Oh great, the driver love vacations. Totally worth it.",1
"Yeah, we really dislikes the movie. This is fine.",1
That guy just hate emails.,0
They thinks coffee is amazing.,0
My friend started traffic.,0
"Fantastic, vacations is amazing today. Everything's perfect.",1
"Oh great, our teacher miss work. Totally worth it.",1
The boss finished traffic.,0
"Fantastic, emails is awesome today. Lucky me.",1
He thinks emails is awesome.,0
Exactly what i wanted — work. This is fine.,1
"Fantastic, coffee is amazing today. Totally worth it.",1
"Fantastic, work is great today. Just what I needed.",1
We thinks the rain is boring.,0
We really losts vacations a lot.,0
She hate the rain.,0
"Perfect, work again. Just what I needed.",1
"Perfect, traffic again. What a surprise.",1
I had a boring day with vacations.,0
"Oh great, the boss hate emails. Wow, incredible.",1
"Fantastic, the rain is amazing today. Just what I needed.",1
"Fantastic, coffee is terrible today. Can't wait for more.",1
We really loves gym a lot.,0
They enjoy coffee.,0
"Exactly what she wanted — Mondays. Wow, incredible.",1
I just started Mondays.,0
The boss just admire the rain.,0
That guy had a unexpected day with coffee.,0
Exactly what my friend wanted — the movie. As always.,1
"Yeah, i really misss meetings. Totally worth it.",1
That guy really hates vacations a lot.,0
I just prefer Mondays.,0
Exactly what the boss wanted — meetings. As always.,1
The driver really admires work a lot.,0
"Yeah, our teacher really enjoys emails. As always.",1
"Fantastic, Mondays is amazing today. Totally worth it.",1
Exactly what my friend wanted — gym. As always.,1
Our teacher really admires gym a lot.,0
"Yeah, i really loves coffee. Everything's perfect.",1
"Oh great, the driver prefer vacations. That made my day.",1
"Oh great, the driver miss meetings. Can't wait for more.",1
The driver really loves coffee a lot.,0
I had a funny day with work.,0
Our teacher prefer gym.,0
"Perfect, gym again. Everything's perfect.",1
"Perfect, traffic again. As always.",1
"Perfect, coffee again. Wow, incredible.",1
They really prefers work a lot.,0
We thinks meetings is boring.,0
"Oh great, my friend admire Mondays. What a surprise.",1
"Yeah, i really prefers meetings. Wow, incredible.",1
"Oh great, our teacher finished work. As always.",1
"Fantastic, Mondays is weird today. That made my day.",1
"Oh great, i lost emails. That made my day.",1
That guy had a weird day with Mondays.,0
"Oh great, she hate gym. Just what I needed.",1
The boss just prefer the rain.,0
They had a terrible day with vacations.,0
That guy miss work.,0
